beta,phi,theta,gamma,delta,gammaT,deltaT,eta,b,kappa,R0
0.4405376126326155,1.9466441144130657,0.4157188478661701,0.6681322644880662,0.7047133073396981,1.535410607974045,0.545756671929732,1.3419393640744188,1.4301325061570853,0.0025568097361673915,1.2149285625021122
0.5475779529300052,1.6038623985045122,0.39406157813066,0.695539661687954,0.6922564732258518,1.4607888853899202,0.5885316233057529,1.4021153426943347,1.7342754876866004,0.0026813447935196263,1.0176873350101736
0.4927833713521249,2.222730446246569,0.27641387064661826,0.6683547864753442,0.6929814731460064,1.5509281573724003,0.6270339751280845,1.3770729935914277,1.4582013015132396,0.002588289817150993,1.3497823702657026
0.5405944742495193,1.6970125270168062,0.1261514043174684,0.7031101885223761,0.7213169947639108,1.4867772770905867,0.5939682114794851,1.3970852734384436,1.1846245493436232,0.0025912338714658596,1.2261343439478973
0.41645292761968444,1.5034041126291267,0.45885260429761066,0.718179788816565,0.6978785848182936,1.4827288889279588,0.5744472615756094,1.3599932767764353,1.6384565520121717,0.002519650206761435,0.9692976951670114
0.5620834628527518,1.6427433496288721,0.4048379378952086,0.6926163419381094,0.7091276529406507,1.5353056669305079,0.5974233802556992,1.371835850941638,1.1353924128424375,0.002715763586317189,1.366372413601355
0.46271063445368776,1.7264080994178073,0.11611425737198443,0.672194653368555,0.7169332911061743,1.4910758122825063,0.6383304849751293,1.3787626315097634,1.1695798865491525,0.002539837360839981,1.258491570531903
0.36355485250707714,2.333698604706558,0.47254390821233394,0.7127863543811254,0.7022604757764687,1.4817765311198308,0.5438354405406862,1.3430081219555188,1.4410291413299738,0.002456710502924398,1.3550245597704158
0.4046065202006139,2.459358298313338,0.3351743550353373,0.673005129186126,0.72294970921427,1.468221090757288,0.6104656462501734,1.3546532535962759,1.0778268276896328,0.0024431343962671237,1.8304259546641473
0.5537141343939583,1.7346356648186918,0.15055463278324654,0.679626344733561,0.7034483955676356,1.5374141651345419,0.5894963566269725,1.4262293036223077,1.4907107104467228,0.0023459453658588856,1.0582955568522725
0.4617113388131838,1.6258732968893599,0.4111988320760429,0.7183554314572054,0.6929593907675395,1.4883928806637414,0.5995640491358936,1.3511831597623725,1.752772316385526,0.0024336781762695566,0.9898684179563911
0.5287022363021969,1.4912795112532329,0.25146147959989806,0.7149751277215157,0.7142212670855224,1.571783907057252,0.5511387222204358,1.3714268037391204,1.3402133004650474,0.0022616487969799592,1.0342579838922057
0.5721608699741773,1.4065386238835051,0.3781829852877806,0.6824656369594546,0.710687211321046,1.4752124964818358,0.5865614901501686,1.344424120407241,1.33935168069005,0.0026684475197379168,1.1124897477983442
0.4129497440776322,2.010943183245137,0.33394536295440047,0.7297930172403964,0.7284129778469602,1.4409536581346765,0.6051217162441462,1.3338140464971462,1.1521925238568336,0.0026246676277834925,1.48236233966859
